,nom,public_prive,commune,departement,ips,taux_mention_bien+
1973,LE JONCHERAY,PUBLIC,BEAUMONT-SUR-SARTHE,SARTHE,94.8,45.9
1974,LOUIS BONNEMAILLE,PUBLIC,PAYS-DE-CLERVAL,DOUBS,94.8,54.5
1975,NOTRE DAME,PRIVE,VIERZON,CHER,94.8,52.6
1976,CHENEVIERE DES ARBRES,PUBLIC,ANCY-LE-FRANC,YONNE,94.8,48.7
1977,ALPHONSE SILVE,PUBLIC,MONTEUX,VAUCLUSE,94.9,47.3
1978,GASTON JOLLET,PUBLIC,SALBRIS,LOIR-ET-CHER,94.9,40.6
1979,CLAUDE DEBUSSY,PUBLIC,LA GUERCHE-SUR-L'AUBOIS,CHER,94.9,40.0
1980,LUCIE AUBRAC,PUBLIC,MONTMORT-LUCY,MARNE,94.9,54.4
1981,ROGER JAHAN,PUBLIC,DESCARTES,INDRE-ET-LOIRE,94.9,36.6
1982,LES ARGOUSIERS,PUBLIC,OYE-PLAGE,PAS-DE-CALAIS,94.9,44.3
1983,LES GONDOLIERS,PUBLIC,LA ROCHE-SUR-YON,VENDEE,94.9,46.6
1984,GASTON RAMON,PUBLIC,DAMPIERRE-SUR-SALON,HAUTE-SAONE,94.9,47.3
1985,DE LA BRIE CHAMPENOISE,PUBLIC,MONTMIRAIL,MARNE,94.9,41.4
1986,MARCEL PAGNOL,PUBLIC,SAINT-OUEN-L'AUMONE,VAL-D'OISE,94.9,37.1
1987,CAMILLE GUERIN,PUBLIC,SAINT-MEEN-LE-GRAND,ILLE-ET-VILAINE,94.9,56.3
1988,-,PUBLIC,LES ANCIZES-COMPS,PUY-DE-DOME,94.9,45.1
1989,D'ARTAGNAN,PUBLIC,NOGARO,GERS,94.9,47.9
1990,JORGE SEMPRUN,PUBLIC,GUEUGNON,SAONE-ET-LOIRE,94.9,49.7
1991,BEATUS RHENANUS,PUBLIC,SELESTAT,BAS-RHIN,94.9,50.8
1992,SAINTE MARIE,PRIVE,STAINS,SEINE-SAINT-DENIS,94.9,38.7
1993,JULIEN REGNIER,PUBLIC,BRIENNE-LE-CHATEAU,AUBE,95.0,45.8
1994,MOULIN JOLY,PUBLIC,COLOMBES,HAUTS-DE-SEINE,95.0,41.8
1995,SAINT JOSEPH DE NAVARIN,PRIVE,BOULOGNE-SUR-MER,PAS-DE-CALAIS,95.0,49.6
1996,NICOLAS BOURBON,PUBLIC,VENDEUVRE-SUR-BARSE,AUBE,95.0,54.2
1997,SAINT EXUPERY,PRIVE,ROUBAIX,NORD,95.0,59.4
1998,HENRI VINCENOT,PUBLIC,CHALINDREY,HAUTE-MARNE,95.0,58.9
1999,GWER HALOU,PUBLIC,CALLAC,COTES D'ARMOR,95.0,63.8
2000,-,PUBLIC,BACCARAT,MEURTHE-ET-MOSELLE,95.0,46.7
2001,SAINT-JOSEPH DE CLUNY,PRIVE,LIMOUX,AUDE,95.0,26.5
2002,CHARLES MILCENDEAU,PUBLIC,CHALLANS,VENDEE,95.0,39.9
2003,JEAN MOULIN,PUBLIC,REVIGNY-SUR-ORNAIN,MEUSE,95.0,54.8
2004,JOSEPH ANGLADE,PUBLIC,LEZIGNAN-CORBIERES,AUDE,95.0,59.6
2005,MONTJOIE,PUBLIC,SARAN,LOIRET,95.0,48.0
2006,PETIT VERSAILLES,PUBLIC,LA FLECHE,SARTHE,95.1,40.2
2007,MARIE CURIE,PUBLIC,LA SEYNE-SUR-MER,VAR,95.1,44.6
2008,JEAN ROSTAND,PUBLIC,VALENCE,TARN-ET-GARONNE,95.1,44.8
2009,LA FONTAINE,PUBLIC,MISSILLAC,LOIRE-ATLANTIQUE,95.1,42.0
2010,PIERRE MENDES FRANCE,PUBLIC,MERU,OISE,95.1,48.0
2011,YOLANDE D ANJOU,PUBLIC,SAUMUR,MAINE-ET-LOIRE,95.1,38.0
2012,MARCEL AYME,PUBLIC,CHAUSSIN,JURA,95.1,43.7
2013,RESTIF DE LA BRETONNE,PUBLIC,PONT-SUR-YONNE,YONNE,95.1,34.9
2014,RENE CASSIN,PUBLIC,LILLERS,PAS-DE-CALAIS,95.1,50.6
2015,LA BOURGADE,PUBLIC,LA TRINITE,ALPES-MARITIMES,95.1,36.9
2016,LES MENIGOUTTES,PUBLIC,LE BLANC,INDRE,95.1,45.7
2017,JEAN LURCAT,PUBLIC,LANESTER,MORBIHAN,95.1,43.1
2018,ARNAUT DANIEL,PUBLIC,RIBERAC,DORDOGNE,95.1,46.1
2019,JEAN ROSTAND,PUBLIC,MONTPON-MENESTEROL,DORDOGNE,95.1,48.1
2020,GUSTAVE COURBET,PUBLIC,ROMAINVILLE,SEINE-SAINT-DENIS,95.1,49.8
2021,JULES FERRY,PUBLIC,MAYENNE,MAYENNE,95.2,54.5
2022,RAYMOND VERGES,PUBLIC,LA POSSESSION,LA REUNION,95.2,55.6
2023,LES DEUX PINS,PUBLIC,FRONTIGNAN,HERAULT,95.2,42.6
2024,PARC FROT,PUBLIC,MEAUX,SEINE-ET-MARNE,95.2,38.0
2025,MAURICE DE VLAMINCK,PUBLIC,VERNEUIL D'AVRE ET D'ITON,EURE,95.2,36.7
2026,LEON BOUJOT,PUBLIC,PORTO-VECCHIO,CORSE-DU-SUD,95.2,43.7
2027,MONT MIROIR,PUBLIC,MAICHE,DOUBS,95.2,53.6
2028,FELIX PECAUT,PUBLIC,SALIES-DE-BEARN,PYRENEES-ATLANTIQUES,95.2,57.7
2029,MARIE CURIE,PUBLIC,BERNAY,EURE,95.2,49.0
2030,ALAIN FOURNIER,PUBLIC,VALLON-EN-SULLY,ALLIER,95.2,51.0
2031,ROBERT MOREL,PUBLIC,ARLES,BOUCHES-DU-RHONE,95.2,42.2
2032,DU VAL DE SAYE,PUBLIC,SAINT-YZAN-DE-SOUDIAC,GIRONDE,95.2,46.7
2033,DES RECOLLETS,PRIVE,LONGWY,MEURTHE-ET-MOSELLE,95.2,48.8
2034,CAMILLE VERNET,PUBLIC,VALENCE,DROME,95.2,43.5
2035,CHARLES LEMAITRE,PUBLIC,LES MONTS D'AUNAY,CALVADOS,95.3,38.6
2036,RENE CASSIN,PUBLIC,LOOS-EN-GOHELLE,PAS-DE-CALAIS,95.3,63.0
2037,LES HAUTES PAILLES,PUBLIC,ECHENON,COTE D'OR,95.3,45.2
2038,DE L'EUROPE,PUBLIC,ARDRES,PAS-DE-CALAIS,95.3,47.0
2039,WILLY RONIS,PUBLIC,CHAMPIGNY-SUR-MARNE,VAL-DE-MARNE,95.3,41.9
2040,MARCEL PAGNOL,PUBLIC,TONNAY-BOUTONNE,CHARENTE-MARITIME,95.3,42.6
2041,CAMILLE FLAMMARION,PUBLIC,VAL-DE-MEUSE,HAUTE-MARNE,95.3,49.5
2042,EMILE THOMAS,PUBLIC,DRAGUIGNAN,VAR,95.3,43.4
2043,JULES VERNE,PUBLIC,RIVERY,SOMME,95.3,58.4
2044,NOTRE-DAME,PRIVE,LUMBRES,PAS-DE-CALAIS,95.3,62.3
2045,SAINT DOMINIQUE,PRIVE,LE MOULE,GUADELOUPE,95.3,58.3
2046,SAINTE ANNE SAINT JOSEPH,PRIVE,LURE,HAUTE-SAONE,95.3,49.6
2047,DUPLESSIS-DEVILLE,PUBLIC,FAUCOGNEY-ET-LA-MER,HAUTE-SAONE,95.3,50.9
2048,ALBERT CALMETTE,PUBLIC,PORT-JEROME-SUR-SEINE,SEINE MARITIME,95.3,48.5
2049,ERNEST PERRIER DE LA BATHIE,PUBLIC,UGINE,SAVOIE,95.3,39.6
2050,BLAISE DE VIGENERE,PUBLIC,SAINT-POURCAIN-SUR-SIOULE,ALLIER,95.4,43.5
2051,EUGENE BELGRAND,PUBLIC,ERVY-LE-CHATEL,AUBE,95.4,57.0
2052,LES ACACIAS,PUBLIC,LE HAVRE,SEINE MARITIME,95.4,45.6
2053,FOCH,PUBLIC,HAGUENAU,BAS-RHIN,95.4,56.7
2054,DU PAYS DES LUYS,PUBLIC,AMOU,LANDES,95.4,66.3
2055,FELIX ESCLANGON,PUBLIC,VIRY-CHATILLON,ESSONNE,95.4,50.2
2056,JEAN-LOUIS BERNARD,PUBLIC,BAIS,MAYENNE,95.4,56.4
2057,FERDINAND DE LESSEPS,PUBLIC,VATAN,INDRE,95.4,46.5
2058,LES SABLONS,PUBLIC,BUZANCAIS,INDRE,95.4,36.3
2059,AMANDEIRETS (LES),PUBLIC,CHATEAUNEUF-LES-MARTIGUES,BOUCHES-DU-RHONE,95.4,41.9
2060,CHARLES LANGLAIS,PUBLIC,PONTIVY,MORBIHAN,95.4,52.5
2061,LE LAOUL,PUBLIC,BOURG-SAINT-ANDEOL,ARDECHE,95.4,41.3
2062,VICTOR HUGO,PUBLIC,CACHAN,VAL-DE-MARNE,95.4,43.0
2063,JEAN-BAPTISTE DROUET,PUBLIC,SAINTE-MENEHOULD,MARNE,95.4,51.7
2064,PIERRE CORNEILLE,PUBLIC,TOURS,INDRE-ET-LOIRE,95.4,40.6
2065,PIERRE BODET,PUBLIC,ANGOULEME,CHARENTE,95.5,61.8
2066,GERARD GAUD,PUBLIC,BOURG-LES-VALENCE,DROME,95.5,48.5
2067,L ORIETTE,PUBLIC,COSSE-LE-VIVIEN,MAYENNE,95.5,47.0
2068,GERMAINE TILLION,PUBLIC,PARIS 12E  ARRONDISSEMENT,PARIS,95.5,49.6
2069,ELSA TRIOLET,PUBLIC,PARIS 13E  ARRONDISSEMENT,PARIS,95.5,51.0
2070,ARAUSIO,PUBLIC,ORANGE,VAUCLUSE,95.5,47.5
2071,PAUL ELUARD,PUBLIC,LA SEYNE-SUR-MER,VAR,95.5,37.6
2072,HENRI DELIVET,PUBLIC,CARROUGES,ORNE,95.5,34.8
2073,SAINT JOSEPH,PRIVE,LANGEAC,HAUTE-LOIRE,95.5,50.5
2074,MAURICE UTRILLO,PUBLIC,MONTMAGNY,VAL-D'OISE,95.5,36.4
2075,DENFERT ROCHEREAU,PUBLIC,SAINT-MAIXENT-L'ECOLE,DEUX-SEVRES,95.5,43.1
2076,PIERRE DE MONTEREAU,PUBLIC,MONTEREAU-FAULT-YONNE,SEINE-ET-MARNE,95.5,46.7
2077,STE CATHERINE,PRIVE,VILLENEUVE-SUR-LOT,LOT-ET-GARONNE,95.6,53.8
2078,PIERRE GRANGE,PUBLIC,ALBERTVILLE,SAVOIE,95.6,41.5
2079,ACHILLE MILLIEN,PUBLIC,PREMERY,NIEVRE,95.6,49.5
2080,ROMAIN ROLLAND,PUBLIC,PONTIVY,MORBIHAN,95.6,59.0
2081,LES SAULES,PUBLIC,EYBENS,ISERE,95.6,48.0
2082,BEG ER VIL,PUBLIC,QUIBERON,MORBIHAN,95.6,55.0
2083,GERARD PHILIPE,PUBLIC,COGOLIN,VAR,95.6,31.6
2084,LE CARBET,PUBLIC,LE CARBET,MARTINIQUE,95.6,49.2
2085,JEAN NICOLI,PUBLIC,PROPRIANO,CORSE-DU-SUD,95.6,45.5
2086,DU VAL DU GY,PUBLIC,AVESNES-LE-COMTE,PAS-DE-CALAIS,95.6,37.2
2087,DES TROIS PROVINCES,PUBLIC,FAYL-BILLOT,HAUTE-MARNE,95.6,67.0
2088,JEAN CAMPIN,PUBLIC,LA FERTE-GAUCHER,SEINE-ET-MARNE,95.6,37.8
2089,QUERAL,PUBLIC,PONTCHATEAU,LOIRE-ATLANTIQUE,95.6,45.5
2090,SAINT-EXUPERY,PUBLIC,AMBERIEU-EN-BUGEY,AIN,95.6,54.0
2091,ARMAND COUSSENS,PUBLIC,SAINT-AMBROIX,GARD,95.6,51.9
2092,ANDRE CAPRON,PUBLIC,CANNES,ALPES-MARITIMES,95.6,44.3
2093,ANGELE VANNIER,PUBLIC,MAEN ROCH,ILLE-ET-VILAINE,95.6,50.9
2094,HONORE DE BALZAC,PUBLIC,ISSOUDUN,INDRE,95.6,45.9
2095,MOULIN BLANC,PUBLIC,SAINT-TROPEZ,VAR,95.6,30.9
2096,FERNAND LEGER,PUBLIC,LIVAROT-PAYS-D'AUGE,CALVADOS,95.6,45.4
2097,JULES VALLES,PUBLIC,CHOISY-LE-ROI,VAL-DE-MARNE,95.7,42.0
2098,ST SAUVEUR,PRIVE,ROCHESERVIERE,VENDEE,95.7,42.5
2099,DESCARTES,PUBLIC,MONS-EN-BAROEUL,NORD,95.7,57.9
2100,JEANINE VANCAYZEELE,PUBLIC,THIBERVILLE,EURE,95.7,40.4
2101,ST CLEMENT,PRIVE,CUDOS,GIRONDE,95.7,38.1
2102,JEAN ZAY,PUBLIC,VALENCE,DROME,95.7,47.4
2103,DU MONTALET,PUBLIC,LACAUNE,TARN,95.7,52.4
2104,PAUL DUEZ,PUBLIC,CAMBRAI,NORD,95.7,50.6
2105,DU PUY D'ISSOLUD,PUBLIC,VAYRAC,LOT,95.7,52.3
2106,VICTOR HUGO,PUBLIC,CHARTRES,EURE-ET-LOIR,95.7,42.9
2107,DRONNE-DOUBLE,PUBLIC,SAINT AULAYE-PUYMANGOU,DORDOGNE,95.7,57.4
2108,LES AVRILS,PUBLIC,SAINT-MIHIEL,MEUSE,95.7,49.1
2109,LOUIS DE BROGLIE,PUBLIC,ANCEMONT,MEUSE,95.7,55.9
2110,OCTAVE MIRBEAU,PUBLIC,TREVIERES,CALVADOS,95.7,56.0
2111,VINCENT ROTINAT,PUBLIC,NEUVY-SAINT-SEPULCHRE,INDRE,95.8,48.7
2112,MOLIERE,PUBLIC,NOIRMOUTIER-EN-L'ILE,VENDEE,95.8,47.8
2113,P PAOLI,PUBLIC,L'ILE-ROUSSE,HAUTE-CORSE,95.8,54.6
2114,PAUL VERLAINE,PUBLIC,FAULQUEMONT,MOSELLE,95.8,44.9
2115,JACQUES LAURENT,PUBLIC,LES ACHARDS,VENDEE,95.8,38.4
2116,RENE  CASSIN,PUBLIC,VILLEFONTAINE,ISERE,95.8,46.1
2117,LOUISE WEISS,PUBLIC,STRASBOURG,BAS-RHIN,95.8,51.1
2118,JEAN MOULIN,PUBLIC,MONTMORILLON,VIENNE,95.8,45.9
2119,VICTOR HUGO,PUBLIC,LASSAY-LES-CHATEAUX,MAYENNE,95.8,41.5
2120,CLAUDIE HAIGNERE,PUBLIC,ROUILLAC,CHARENTE,95.8,51.8
2121,EMILIE DE MIRABEAU,PUBLIC,MARIGNANE,BOUCHES-DU-RHONE,95.8,37.4
2122,MARCEL MARCERON,PUBLIC,MONTFORT-SUR-RISLE,EURE,95.8,45.8
2123,NOTRE DAME,PRIVE,ORBEC,CALVADOS,95.8,42.6
2124,NOTRE DAME,PRIVE,LANVOLLON,COTES D'ARMOR,95.8,63.5
2125,CLAUDE ET GERMAIN GRANGE,PUBLIC,SEYSSUEL,ISERE,95.8,43.3
2126,CELESTIN SOUREZES,PUBLIC,REQUISTA,AVEYRON,95.9,53.7
2127,HENRI BARBUSSE,PUBLIC,BAGNEUX,HAUTS-DE-SEINE,95.9,36.5
2128,GENERAL FERRIE,PUBLIC,DRAGUIGNAN,VAR,95.9,41.0
2129,NOTRE DAME,PRIVE,SIGOULES-ET-FLAUGEAC,DORDOGNE,95.9,35.2
2130,FRANCOIS RABELAIS,PUBLIC,MONTPELLIER,HERAULT,95.9,47.9
2131,PABLO NERUDA,PUBLIC,GAGNY,SEINE-SAINT-DENIS,95.9,41.2
2132,MAURICE CONSTANTIN WEYER,PUBLIC,CUSSET,ALLIER,95.9,49.2
2133,VICTOR HUGO,PUBLIC,CARMAUX,TARN,95.9,56.1
2134,SEBASTIEN VAUBAN,PUBLIC,BLAYE,GIRONDE,95.9,50.9
2135,SAINT JOSEPH,PRIVE,SAINT-AMBROIX,GARD,95.9,43.9
2136,SAINTE JEANNE D'ARC,PRIVE,MONTMIRAIL,MARNE,95.9,50.9
2137,NAVARRE,PUBLIC,EVREUX,EURE,95.9,44.1
2138,JEAN MERMOZ,PUBLIC,BELLEU,AISNE,95.9,38.3
2139,ANDRE MALRAUX,PUBLIC,TRUN,ORNE,96.0,37.7
2140,LOUIS PAULHAN,PUBLIC,SARTROUVILLE,YVELINES,96.0,33.6
2141,ROBERT BARRIERE,PUBLIC,SAUVETERRE-DE-GUYENNE,GIRONDE,96.0,53.9
2142,JACQUES PREVERT,PUBLIC,NOUVION,SOMME,96.0,54.5
2143,NOTRE DAME,PRIVE,ANNONAY,ARDECHE,96.0,48.3
2144,DIDIER LAMOULIE,PUBLIC,MIRAMONT-DE-GUYENNE,LOT-ET-GARONNE,96.0,55.5
2145,EUGENE GUILLEVIC,PUBLIC,SAINT-JEAN-BREVELAY,MORBIHAN,96.0,48.5
2146,EDOUARD HERRIOT,PUBLIC,LUCE,EURE-ET-LOIR,96.0,50.6
2147,JACQUES TATI,PUBLIC,MERTZWILLER,BAS-RHIN,96.0,59.5
2148,LA SALLE,PRIVE,BRIVE-LA-GAILLARDE,CORREZE,96.0,33.3
2149,JACQUES PREVERT,PUBLIC,FLAVY-LE-MARTEL,AISNE,96.0,48.5
2150,JEAN MACE,PUBLIC,VILLEURBANNE,RHONE,96.0,53.7
2151,SAINTE ANNE,PRIVE,VERDUN,MEUSE,96.0,45.2
2152,CLAUDE NOUGARO,PUBLIC,TOULOUSE,HAUTE-GARONNE,96.0,46.4
2153,LUCIEN FEBVRE,PUBLIC,SAINT-AMOUR,JURA,96.0,47.5
2154,FERDINAND FABRE,PUBLIC,BEDARIEUX,HERAULT,96.0,49.6
2155,GEORGES BESSE,PUBLIC,LOCHES,INDRE-ET-LOIRE,96.0,37.8
2156,STE ANNE,PRIVE,LA TRINITE-PORHOET,MORBIHAN,96.1,60.4
2157,ANTOINE DE SAINT EXUPERY,PUBLIC,DOUVRIN,PAS-DE-CALAIS,96.1,55.8
2158,ST PIERRE,PRIVE,CASSENEUIL,LOT-ET-GARONNE,96.1,63.6
2159,MADAME DE SEVIGNE,PUBLIC,GAGNY,SEINE-SAINT-DENIS,96.1,41.3
2160,LES SABLES BLANCS,PUBLIC,CONCARNEAU,FINISTERE,96.1,47.2
2161,CONDORCET,PUBLIC,FLEURY-LES-AUBRAIS,LOIRET,96.1,40.7
2162,GEORGES CLEMENCEAU,PUBLIC,EPINAL,VOSGES,96.1,47.2
2163,FRANCOIS VILLON,PUBLIC,TERRES-DE-CAUX,SEINE MARITIME,96.1,40.8
2164,MAURICE GENEVOIX,PUBLIC,DECIZE,NIEVRE,96.1,46.6
2165,SAINT JOSEPH EN VAL D'AY,PRIVE,SATILLIEU,ARDECHE,96.1,44.3
2166,CHARLES PEGUY,PUBLIC,WITTELSHEIM,HAUT-RHIN,96.1,41.0
2167,JEAN-JACQUES ROUSSEAU,PUBLIC,DARNETAL,SEINE MARITIME,96.1,49.0
2168,LE BOSQUET,PUBLIC,BAGNOLS-SUR-CEZE,GARD,96.1,50.6
2169,MARIA DE PERETTI,PUBLIC,PORTO-VECCHIO,CORSE-DU-SUD,96.1,47.8
2170,JEAN WIENER,PUBLIC,CHAMPS-SUR-MARNE,SEINE-ET-MARNE,96.1,42.3
2171,HENRI MARGALHAN,PRIVE,MARSEILLE 14E  ARRONDISSEMENT,BOUCHES-DU-RHONE,96.2,43.1
2172,DU REVERMONT,PUBLIC,BOURG-EN-BRESSE,AIN,96.2,54.8
2173,GEORGES POMPIDOU,PUBLIC,MONTGERON,ESSONNE,96.2,48.8
2174,GABRIEL DE LA GORCE,PUBLIC,HUCQUELIERS,PAS-DE-CALAIS,96.2,51.5
2175,ANNE FRANK,PUBLIC,MONTCHANIN,SAONE-ET-LOIRE,96.2,47.6
2176,PAUL DARDE,PUBLIC,LODEVE,HERAULT,96.2,44.2
2177,GEORGE SAND,PUBLIC,HURIEL,ALLIER,96.2,57.4
2178,GEORGES BRASSENS,PUBLIC,VILLENEUVE-LE-ROI,VAL-DE-MARNE,96.2,29.2
2179,LA CROIX MENEE,PUBLIC,LE CREUSOT,SAONE-ET-LOIRE,96.2,37.0
2180,EMMANUEL DE MARTONNE,PUBLIC,LAVAL,MAYENNE,96.2,47.1
2181,JEAN BAPTISTE EBLE,PUBLIC,PUTTELANGE-AUX-LACS,MOSELLE,96.2,52.1
2182,LOUIS PERGAUD,PUBLIC,FAVERNEY,HAUTE-SAONE,96.2,48.7
2183,ANTOINE DE SAINT EXUPERY,PUBLIC,LILLE,NORD,96.2,56.6
2184,MATHURIN REGNIER,PUBLIC,CHARTRES,EURE-ET-LOIR,96.2,44.9
2185,ARTHUR RIMBAUD,PUBLIC,AUBERGENVILLE,YVELINES,96.2,29.4
2186,AUSONE,PUBLIC,BAZAS,GIRONDE,96.2,44.3
2187,PAUL KLEE,PUBLIC,THIAIS,VAL-DE-MARNE,96.2,39.1
2188,ALFRED MEZIERES,PUBLIC,JARNY,MEURTHE-ET-MOSELLE,96.2,54.9
2189,GEORGES GUINGOUIN,PUBLIC,EYMOUTIERS,HAUTE-VIENNE,96.2,49.0
2190,ST MICHEL,PRIVE,GUEMENE-PENFAO,LOIRE-ATLANTIQUE,96.2,54.3
2191,PAUL BERT,PUBLIC,FECAMP,SEINE MARITIME,96.3,48.0
2192,JEAN JAURES,PUBLIC,NOGENT-SUR-SEINE,AUBE,96.3,51.0
2193,JULES LEROUX,PUBLIC,VILLERS-SEMEUSE,ARDENNES,96.3,53.8
2194,GUY DE MAUPASSANT,PUBLIC,FLEURY-SUR-ANDELLE,EURE,96.3,50.9
2195,ST LOUIS,PRIVE,BEAUPREAU-EN-MAUGES,MAINE-ET-LOIRE,96.3,43.9
2196,JEAN MERMOZ,PUBLIC,SAINT-LAURENT-DE-LA-SALANQUE,PYRENEES-ORIENTALES,96.3,44.2
2197,LOUIS HEMON,PUBLIC,PLEYBEN,FINISTERE,96.3,60.9
2198,SAINT EXUPERY,PUBLIC,ALENCON,ORNE,96.3,44.8
2199,PIERRE DE LA RAMEE,PUBLIC,SAINT-QUENTIN,AISNE,96.3,50.2
2200,SACRE COEUR,PRIVE,PRIVAS,ARDECHE,96.3,68.9
2201,ST ROCH,PRIVE,SAINT-PERE-EN-RETZ,LOIRE-ATLANTIQUE,96.3,49.7
2202,JEAN MONTEMONT,PUBLIC,RUPT-SUR-MOSELLE,VOSGES,96.3,53.6
2203,ROGER CASTENDET,PUBLIC,FORT-DE-FRANCE,MARTINIQUE,96.3,35.9
2204,EUROPE,PUBLIC,CORMEILLES,EURE,96.3,36.5
2205,MARTIN NADAUD,PUBLIC,GUERET,CREUSE,96.3,44.1
2206,CHATEAUCOIN,PUBLIC,BAUGE-EN-ANJOU,MAINE-ET-LOIRE,96.3,52.0
2207,ARSENE LAMBERT,PUBLIC,LENCLOITRE,VIENNE,96.3,43.1
2208,MARIE CURIE,PUBLIC,DESERTINES,ALLIER,96.4,42.4
2209,GUYNEMER,PUBLIC,MONTBELIARD,DOUBS,96.4,55.5
2210,LA LOGE DES BOIS,PUBLIC,SENONCHES,EURE-ET-LOIR,96.4,33.9
2211,MAURICE DE VLAMINCK,PUBLIC,BREZOLLES,EURE-ET-LOIR,96.4,39.2
2212,EMILE CHEVALLIER,PUBLIC,SOUPPES-SUR-LOING,SEINE-ET-MARNE,96.4,32.9
2213,LELORGNE DE SAVIGNY,PUBLIC,PROVINS,SEINE-ET-MARNE,96.4,51.3
2214,LUCIE FAURE,PUBLIC,PARIS 20E  ARRONDISSEMENT,PARIS,96.4,47.2
2215,FELIX GAILLARD,PUBLIC,COGNAC,CHARENTE,96.4,40.9
2216,HELENE DE FONSEQUE,PUBLIC,SURGERES,CHARENTE-MARITIME,96.4,47.4
2217,LE PRIEURE,PRIVE,CRAON,MAYENNE,96.4,54.5
2218,NOTRE DAME DE LA VISTE,PRIVE,MARSEILLE 15E  ARRONDISSEMENT,BOUCHES-DU-RHONE,96.4,63.9
2219,JOSEPH VERNET,PUBLIC,AVIGNON,VAUCLUSE,96.4,47.1
2220,PIERRE ET MARIE CURIE,PUBLIC,RIEUX-MINERVOIS,AUDE,96.4,45.1
2221,LES DINES CHIENS,PUBLIC,CHILLY-MAZARIN,ESSONNE,96.4,37.1
2222,LOUIS ISSAURAT,PUBLIC,CRETEIL,VAL-DE-MARNE,96.4,33.8
2223,DES CORBIERES MARITIMES,PUBLIC,SIGEAN,AUDE,96.4,43.1
2224,LOUIS PASTEUR,PUBLIC,VILLEJUIF,VAL-DE-MARNE,96.4,36.6
2225,MAURICE CHASTANG,PUBLIC,SAINT-GENIS-DE-SAINTONGE,CHARENTE-MARITIME,96.4,60.5
2226,XAVIER BICHAT,PUBLIC,ARINTHOD,JURA,96.4,55.5
2227,PIERRE DE RONSARD,PUBLIC,TOURS,INDRE-ET-LOIRE,96.5,43.6
2228,LECLERC,PUBLIC,SAINT-GAUDENS,HAUTE-GARONNE,96.5,52.0
2229,LA PROVIDENCE,PRIVE,BOUZONVILLE,MOSELLE,96.5,49.0
2230,JULES VERNE,PUBLIC,SAINT-HILAIRE-DU-HARCOUET,MANCHE,96.5,45.9
2231,BEURNONVILLE,PUBLIC,TROYES,AUBE,96.5,46.5
2232,D'OTHE ET VANNE,PUBLIC,AIX-VILLEMAUR-PALIS,AUBE,96.5,57.9
2233,ST PAUL,PRIVE,PALLUAU,VENDEE,96.5,49.8
2234,LE LUZARD,PUBLIC,NOISIEL,SEINE-ET-MARNE,96.5,42.5
2235,ALBERTO GIACOMETTI,PUBLIC,PARIS 14E  ARRONDISSEMENT,PARIS,96.5,43.9
2236,JEAN JAURES,PUBLIC,ALBI,TARN,96.5,51.9
2237,FRANCOIS RABELAIS,PUBLIC,ANGERS,MAINE-ET-LOIRE,96.5,43.4
2238,LUZY DUFEILLANT,PRIVE,BEAUREPAIRE,ISERE,96.5,49.3
2239,SAINT-POL ROUX,PUBLIC,BREST,FINISTERE,96.5,59.3
2240,CHARLES DE GAULLE,PUBLIC,LA COQUILLE,DORDOGNE,96.6,57.5
2241,RENE GUY CADOU,PUBLIC,MONTOIR-DE-BRETAGNE,LOIRE-ATLANTIQUE,96.6,40.0
2242,LIBERTAIRE RUTIGLIANO,PUBLIC,NANTES,LOIRE-ATLANTIQUE,96.6,45.6
2243,LA ROCHE AUX FEES,PUBLIC,RETIERS,ILLE-ET-VILAINE,96.6,49.0
2244,JEAN MARIE LONNE,PUBLIC,HAGETMAU,LANDES,96.6,56.8
2245,VOLTAIRE,PUBLIC,AIRVAULT,DEUX-SEVRES,96.6,51.9
2246,THEODORE ROSSET,PUBLIC,MONTREAL-LA-CLUSE,AIN,96.6,52.1
2247,CHARLET,PUBLIC,REMIREMONT,VOSGES,96.6,41.3
2248,GEORGES CLEMENCEAU,PUBLIC,LYON  7E  ARRONDISSEMENT,RHONE,96.6,45.4
2249,CHARLES SURAN,PUBLIC,BOULOGNE-SUR-GESSE,HAUTE-GARONNE,96.6,45.8
2250,DU SACRE COEUR,PRIVE,RUFFEC,CHARENTE,96.6,52.4
2251,JOACHIM DU BELLAY,PUBLIC,AUTHON-DU-PERCHE,EURE-ET-LOIR,96.6,33.3
2252,INSTITUTION ST JOSEPH,PRIVE,LA CRAU,VAR,96.7,15.2
2253,JULES FERRY,PUBLIC,LANGON,GIRONDE,96.7,52.1
2254,VOLTAIRE,PUBLIC,ASNIERES-SUR-SEINE,HAUTS-DE-SEINE,96.7,42.6
2255,PHILIPPE GRENIER,PUBLIC,PONTARLIER,DOUBS,96.7,44.4
2256,TANCREDE DE HAUTEVILLE,PUBLIC,SAINT-SAUVEUR-VILLAGES,MANCHE,96.7,50.8
2257,CROIX MAITRE RENAULT,PUBLIC,BEAUMONT-LE-ROGER,EURE,96.7,43.0
2258,GUY DE MAUPASSANT,PUBLIC,LIMOGES,HAUTE-VIENNE,96.7,40.1
2259,ANDRE MICLOT,PUBLIC,PORT-BAIL-SUR-MER,MANCHE,96.7,55.0
2260,POMPEU FABRA,PRIVE,LE SOLER,PYRENEES-ORIENTALES,96.7,64.7
