,nom,public_prive,commune,departement,ips,taux_mention_bien+
66,DE MAJICAVO,PUBLIC,KOUNGOU,MAYOTTE,63.8,16.5
67,FRANCOIS MAHE D.LA BOURDONNAIS,PUBLIC,SAINT-DENIS,LA REUNION,63.8,45.6
68,LES TAMARINS,PUBLIC,SAINT-PIERRE,LA REUNION,64.0,31.2
69,FRANCOIS TRUFFAUT,PUBLIC,STRASBOURG,BAS-RHIN,64.0,39.8
70,MARIE LAURENCIN,PUBLIC,MARSEILLE 14E  ARRONDISSEMENT,BOUCHES-DU-RHONE,64.0,26.6
71,VALLON DES PINS,PUBLIC,MARSEILLE 15E  ARRONDISSEMENT,BOUCHES-DU-RHONE,64.2,26.0
72,LISE OPHION,PUBLIC,MATOURY,GUYANE,64.5,18.8
73,HENRI BARNIER,PUBLIC,MARSEILLE 16E  ARRONDISSEMENT,BOUCHES-DU-RHONE,64.5,32.6
74,JEAN LE COUTALLER,PUBLIC,LORIENT,MORBIHAN,64.6,26.4
75,THERESIEN CADET,PUBLIC,SAINTE-ROSE,LA REUNION,64.7,41.8
76,JEAN MOULIN,PUBLIC,MARSEILLE 15E  ARRONDISSEMENT,BOUCHES-DU-RHONE,64.7,17.3
77,DE KAWENI 1,PUBLIC,MAMOUDZOU,MAYOTTE,64.7,17.2
78,HENRI WALLON,PUBLIC,LA SEYNE-SUR-MER,VAR,64.8,23.5
79,JEAN VILAR,PUBLIC,ANGERS,MAINE-ET-LOIRE,64.8,22.0
80,JULES FERRY,PUBLIC,MARSEILLE 15E  ARRONDISSEMENT,BOUCHES-DU-RHONE,65.0,39.1
81,LOUISE MICHEL,PUBLIC,LILLE,NORD,65.1,20.6
82,NELSON MANDELA,PUBLIC,MAMOUDZOU,MAYOTTE,65.1,16.9
83,CONCORDE - MAURICE DUMESNIL,PUBLIC,MATOURY,GUYANE,65.1,20.4
84,KERHALLET,PUBLIC,BREST,FINISTERE,65.1,39.2
85,ALBERT LONDRES,PUBLIC,SAINT-LAURENT-DU-MARONI,GUYANE,65.3,20.5
86,LUCIEN VADEZ,PUBLIC,CALAIS,PAS-DE-CALAIS,65.3,30.1
